firstName,lastName,gameDate,points,reboundsTotal,assists,numMinutes
Alex,Demo,2025-01-01,16,9,4,24
Alex,Demo,2025-01-03,27,4,1,35
Alex,Demo,2025-01-05,23,11,6,30
Alex,Demo,2025-01-07,23,10,4,34
Alex,Demo,2025-01-09,25,5,7,30
Alex,Demo,2025-01-11,27,7,4,32
Alex,Demo,2025-01-13,23,4,8,29
Alex,Demo,2025-01-15,24,4,6,23
Alex,Demo,2025-01-17,18,9,1,25
Alex,Demo,2025-01-19,23,8,7,36
Alex,Demo,2025-01-21,25,3,4,33
Alex,Demo,2025-01-23,22,9,6,23
Alex,Demo,2025-01-25,22,9,4,35
Alex,Demo,2025-01-27,18,2,4,27
Alex,Demo,2025-01-29,23,3,6,34
Alex,Demo,2025-01-31,18,7,6,29
Alex,Demo,2025-02-02,26,6,7,36
Alex,Demo,2025-02-04,24,10,4,34
Alex,Demo,2025-02-06,27,4,6,35
Alex,Demo,2025-02-08,23,10,1,24
Alex,Demo,2025-02-10,26,9,4,34
Alex,Demo,2025-02-12,21,7,4,32
Alex,Demo,2025-02-14,21,7,2,30
Alex,Demo,2025-02-16,17,8,4,24
Alex,Demo,2025-02-18,22,7,5,34
Alex,Demo,2025-02-20,25,2,5,31
Alex,Demo,2025-02-22,22,5,3,34
Alex,Demo,2025-02-24,25,4,4,29
Alex,Demo,2025-02-26,19,10,7,36
Alex,Demo,2025-02-28,22,11,3,23
Alex,Demo,2025-03-02,20,8,5,29
Alex,Demo,2025-03-04,25,6,4,33
Alex,Demo,2025-03-06,19,10,3,28
Alex,Demo,2025-03-08,19,9,6,23
Alex,Demo,2025-03-10,21,6,8,32
Alex,Demo,2025-03-12,24,6,6,30
Alex,Demo,2025-03-14,21,6,2,29
Alex,Demo,2025-03-16,21,8,3,27
Alex,Demo,2025-03-18,18,2,3,36
Alex,Demo,2025-03-20,25,6,6,36
Alex,Demo,2025-03-22,27,4,3,29
Alex,Demo,2025-03-24,26,9,4,33
Alex,Demo,2025-03-26,19,4,4,33
Alex,Demo,2025-03-28,27,9,2,35
Alex,Demo,2025-03-30,24,5,5,33
Alex,Demo,2025-04-01,15,2,7,25
Alex,Demo,2025-04-03,23,9,3,29
Alex,Demo,2025-04-05,29,2,6,31
Jordan,Sample,2025-01-01,16,2,7,31
Jordan,Sample,2025-01-03,19,3,3,23
Jordan,Sample,2025-01-05,21,3,2,32
Jordan,Sample,2025-01-07,13,4,8,31
Jordan,Sample,2025-01-09,11,7,5,36
Jordan,Sample,2025-01-11,14,3,8,31
Jordan,Sample,2025-01-13,16,6,1,28
Jordan,Sample,2025-01-15,21,8,4,24
Jordan,Sample,2025-01-17,11,11,5,29
Jordan,Sample,2025-01-19,16,11,3,29
Jordan,Sample,2025-01-21,13,7,3,30
Jordan,Sample,2025-01-23,18,2,8,23
Jordan,Sample,2025-01-25,11,3,3,30
Jordan,Sample,2025-01-27,12,3,3,24
Jordan,Sample,2025-01-29,21,8,8,26
Jordan,Sample,2025-01-31,20,8,8,33
Jordan,Sample,2025-02-02,13,4,2,36
Jordan,Sample,2025-02-04,24,5,7,30
Jordan,Sample,2025-02-06,11,10,2,29
Jordan,Sample,2025-02-08,18,8,5,36
Jordan,Sample,2025-02-10,14,4,2,35
Jordan,Sample,2025-02-12,12,4,4,25
Jordan,Sample,2025-02-14,17,11,1,36
Jordan,Sample,2025-02-16,16,4,8,33
Jordan,Sample,2025-02-18,19,7,1,24
Jordan,Sample,2025-02-20,14,6,3,33
Jordan,Sample,2025-02-22,22,2,4,35
Jordan,Sample,2025-02-24,9,11,2,26
Jordan,Sample,2025-02-26,20,3,8,23
Jordan,Sample,2025-02-28,12,5,5,25
Jordan,Sample,2025-03-02,21,10,3,33
Jordan,Sample,2025-03-04,17,5,8,27
Jordan,Sample,2025-03-06,14,7,8,29
Jordan,Sample,2025-03-08,19,4,2,23
Jordan,Sample,2025-03-10,5,8,3,23
Jordan,Sample,2025-03-12,12,9,5,30
Jordan,Sample,2025-03-14,13,3,1,28
Jordan,Sample,2025-03-16,10,10,2,33
Jordan,Sample,2025-03-18,17,3,1,29
Jordan,Sample,2025-03-20,13,3,4,28
Jordan,Sample,2025-03-22,20,8,5,30
Jordan,Sample,2025-03-24,11,6,1,27
Jordan,Sample,2025-03-26,16,7,7,31
Jordan,Sample,2025-03-28,14,9,4,24
Jordan,Sample,2025-03-30,21,11,2,23
Jordan,Sample,2025-04-01,15,6,4,36
Jordan,Sample,2025-04-03,17,9,6,31
Jordan,Sample,2025-04-05,11,4,7,24
Casey,Example,2025-01-01,9,4,7,29
Casey,Example,2025-01-03,8,3,3,31
Casey,Example,2025-01-05,11,6,8,35
Casey,Example,2025-01-07,5,7,2,35
Casey,Example,2025-01-09,5,4,7,26
Casey,Example,2025-01-11,23,10,1,34
Casey,Example,2025-01-13,11,7,2,29
Casey,Example,2025-01-15,7,11,2,34
Casey,Example,2025-01-17,13,11,2,35
Casey,Example,2025-01-19,8,6,1,26
Casey,Example,2025-01-21,9,2,2,30
Casey,Example,2025-01-23,7,6,5,25
Casey,Example,2025-01-25,11,8,7,30
Casey,Example,2025-01-27,9,9,8,27
Casey,Example,2025-01-29,12,10,4,34
Casey,Example,2025-01-31,20,4,2,25
Casey,Example,2025-02-02,12,7,3,31
Casey,Example,2025-02-04,4,2,7,23
Casey,Example,2025-02-06,10,2,6,24
Casey,Example,2025-02-08,12,10,8,24
Casey,Example,2025-02-10,7,11,5,26
Casey,Example,2025-02-12,11,8,7,33
Casey,Example,2025-02-14,10,3,3,33
Casey,Example,2025-02-16,16,10,4,30
Casey,Example,2025-02-18,11,5,2,33
Casey,Example,2025-02-20,8,6,4,26
